problem,m,iterations,runtime,grad_norm,converged,exit_code
random_quad_10,1,276,0.009265899658203125,3.5378488948350794e-05,True,Convergence
random_quad_10,2,236,0.011053323745727539,1.091129093479128e-05,True,Convergence
random_quad_10,3,183,0.008251428604125977,1.4840936253480602e-05,True,Convergence
random_quad_10,4,146,0.006845235824584961,1.4140425088286276e-05,True,Convergence
random_quad_10,5,137,0.0070629119873046875,6.794873999457317e-06,True,Convergence
random_quad_10,6,139,0.007955074310302734,8.135767788067114e-06,True,Convergence
random_quad_10,7,99,0.006025552749633789,1.124947866806665e-05,True,Convergence
random_quad_10,8,109,0.007003307342529297,2.9086223234083097e-05,True,Convergence
random_quad_10,9,87,0.005947589874267578,1.1623966277995107e-05,True,Convergence
random_quad_10,10,67,0.004723072052001953,1.5414290035144632e-05,True,Convergence
random_quad_10,11,61,0.004387617111206055,3.7918912716990362e-06,True,Convergence
random_quad_10,12,50,0.0036928653717041016,2.9681139871143855e-06,True,Convergence
random_quad_10,13,56,0.004488706588745117,4.279025000455501e-06,True,Convergence
random_quad_10,14,53,0.004446268081665039,9.259528919707534e-06,True,Convergence
random_quad_10,15,49,0.004233598709106445,9.281733674203392e-07,True,Convergence
random_quad_10,16,53,0.0046923160552978516,1.5145846753670766e-05,True,Convergence
random_quad_10,17,47,0.004101753234863281,6.1635772648469544e-06,True,Convergence
random_quad_10,18,53,0.005123615264892578,3.3033912486465517e-06,True,Convergence
random_quad_10,19,52,0.004975318908691406,6.657077090174487e-07,True,Convergence
random_quad_10,20,46,0.004465579986572266,2.423199461749683e-06,True,Convergence
random_quad_10,21,45,0.004437446594238281,1.0026385875877835e-06,True,Convergence
random_quad_10,22,48,0.004878520965576172,5.1451289814996555e-06,True,Convergence
random_quad_10,23,44,0.0043773651123046875,4.2026283530892794e-07,True,Convergence
random_quad_10,24,45,0.004625082015991211,3.528438216994468e-06,True,Convergence
random_quad_10,25,43,0.004718780517578125,2.5732893015516895e-06,True,Convergence
random_quartic_10,1,12,0.0008466243743896484,2.290578929829095e-14,True,Convergence
random_quartic_10,2,12,0.0005867481231689453,7.503392225754531e-13,True,Convergence
random_quartic_10,3,12,0.0006036758422851562,6.570550237252306e-10,True,Convergence
random_quartic_10,4,12,0.0006344318389892578,5.64448182784041e-09,True,Convergence
random_quartic_10,5,12,0.0006709098815917969,1.0087645892062335e-08,True,Convergence
random_quartic_10,6,12,0.000701904296875,6.629312106420944e-10,True,Convergence
random_quartic_10,7,12,0.0007181167602539062,3.6679032664127683e-09,True,Convergence
random_quartic_10,8,13,0.0007951259613037109,1.061700450807855e-09,True,Convergence
random_quartic_10,9,14,0.0009031295776367188,7.609454251569228e-11,True,Convergence
random_quartic_10,10,14,0.0009162425994873047,2.3207023942580476e-09,True,Convergence
random_quartic_10,11,15,0.0010187625885009766,6.475488342184721e-10,True,Convergence
random_quartic_10,12,16,0.0011436939239501953,1.6330933365638203e-10,True,Convergence
random_quartic_10,13,17,0.0012226104736328125,5.253840114882234e-11,True,Convergence
random_quartic_10,14,17,0.0012454986572265625,1.5929925836006227e-09,True,Convergence
random_quartic_10,15,17,0.0012593269348144531,1.01116501067298e-08,True,Convergence
random_quartic_10,16,17,0.0012409687042236328,1.446242422665957e-08,True,Convergence
random_quartic_10,17,17,0.0012440681457519531,1.446242422665957e-08,True,Convergence
random_quartic_10,18,17,0.0014634132385253906,1.446242422665957e-08,True,Convergence
random_quartic_10,19,17,0.001268625259399414,1.446242422665957e-08,True,Convergence
random_quartic_10,20,17,0.0013515949249267578,1.446242422665957e-08,True,Convergence
random_quartic_10,21,17,0.0012884140014648438,1.446242422665957e-08,True,Convergence
random_quartic_10,22,17,0.0012278556823730469,1.446242422665957e-08,True,Convergence
random_quartic_10,23,17,0.0012183189392089844,1.446242422665957e-08,True,Convergence
random_quartic_10,24,17,0.0012471675872802734,1.446242422665957e-08,True,Convergence
random_quartic_10,25,17,0.0012328624725341797,1.446242422665957e-08,True,Convergence
rosenbrock_20d,1,243,0.024832487106323242,2.26768302820657e-05,True,Convergence
rosenbrock_20d,2,191,0.01862955093383789,2.0388452249356252e-05,True,Convergence
rosenbrock_20d,3,169,0.017142057418823242,1.622280234430247e-05,True,Convergence
rosenbrock_20d,4,140,0.014803647994995117,1.4845819377419861e-05,True,Convergence
